image_name,emotion,age
0_MariaCallas_35_f.jpg,sad,35.0
10000_GlennClose_62_f.jpg,happy,62.0
10001_GoldieHawn_23_f.jpg,happy,23.0
10002_GoldieHawn_24_f.jpg,happy,24.0
10003_GoldieHawn_24_f.jpg,happy,24.0
10004_GoldieHawn_27_f.jpg,neutral,27.0
10005_GoldieHawn_28_f.jpg,fear,28.0
10006_GoldieHawn_29_f.jpg,happy,29.0
10007_GoldieHawn_30_f.jpg,fear,30.0
10008_GoldieHawn_31_f.jpg,sad,31.0
10009_GoldieHawn_35_f.jpg,fear,35.0
1000_StephenHawking_1_m.jpg,sad,1.0
10010_GoldieHawn_35_f.jpg,neutral,35.0
10011_GoldieHawn_37_f.jpg,fear,37.0
10012_GoldieHawn_39_f.jpg,sad,39.0
10013_GoldieHawn_44_f.jpg,sad,44.0
10014_GoldieHawn_45_f.jpg,sad,45.0
10015_GoldieHawn_45_f.jpg,fear,45.0
10016_GoldieHawn_50_f.jpg,fear,50.0
10017_GoldieHawn_51_f.jpg,fear,51.0
10018_GoldieHawn_51_f.jpg,fear,51.0
10019_GoldieHawn_52_f.jpg,fear,52.0
1001_StephenHawking_3_m.jpg,happy,3.0
10020_GoldieHawn_53_f.jpg,fear,53.0
10021_GoldieHawn_57_f.jpg,happy,57.0
10022_GoldieHawn_59_f.jpg,happy,59.0
10023_GoldieHawn_60_f.jpg,happy,60.0
10024_GoldieHawn_62_f.jpg,happy,62.0
10025_GoldieHawn_64_f.jpg,happy,64.0
10026_GoldieHawn_65_f.jpg,happy,65.0
10027_HelenHunt_10_f.jpg,sad,10.0
10028_HelenHunt_11_f.jpg,happy,11.0
10029_HelenHunt_12_f.jpg,happy,12.0
1002_StephenHawking_15_m.jpg,angry,15.0
10030_HelenHunt_13_f.jpg,sad,13.0
10031_HelenHunt_14_f.jpg,neutral,14.0
10032_HelenHunt_15_f.jpg,happy,15.0
10033_HelenHunt_18_f.jpg,happy,18.0
10034_HelenHunt_19_f.jpg,happy,19.0
10035_HelenHunt_20_f.jpg,fear,20.0
10036_HelenHunt_21_f.jpg,happy,21.0
10037_HelenHunt_22_f.jpg,sad,22.0
10038_HelenHunt_24_f.jpg,neutral,24.0
10039_HelenHunt_26_f.jpg,happy,26.0
1003_StephenHawking_21_m.jpg,fear,21.0
10040_HelenHunt_27_f.jpg,happy,27.0
10041_HelenHunt_28_f.jpg,fear,28.0
10042_HelenHunt_29_f.jpg,happy,29.0
10043_HelenHunt_30_f.jpg,neutral,30.0
10044_HelenHunt_32_f.jpg,happy,32.0
10045_HelenHunt_33_f.jpg,happy,33.0
10046_HelenHunt_34_f.jpg,neutral,34.0
10047_HelenHunt_34_f.jpg,angry,34.0
10048_HelenHunt_35_f.jpg,happy,35.0
10049_HelenHunt_36_f.jpg,happy,36.0
1004_StephenHawking_43_m.jpg,happy,43.0
10050_HelenHunt_37_f.jpg,happy,37.0
10051_HelenHunt_37_f.jpg,happy,37.0
10052_HelenHunt_38_f.jpg,happy,38.0
10053_HelenHunt_39_f.jpg,happy,39.0
10054_HelenHunt_41_f.jpg,happy,41.0
10055_HelenHunt_42_f.jpg,happy,42.0
10056_HelenHunt_43_f.jpg,happy,43.0
10057_HelenHunt_44_f.jpg,happy,44.0
10058_HelenHunt_45_f.jpg,happy,45.0
10059_HelenHunt_47_f.jpg,happy,47.0
1005_StephenHawking_23_m.jpg,happy,23.0
10060_HelenHunt_48_f.jpg,happy,48.0
10061_HelenHunt_49_f.jpg,happy,49.0
10062_HelenHunt_50_f.jpg,happy,50.0
10063_HelenHunt_50_f.jpg,happy,50.0
10064_HelenHunt_51_f.jpg,happy,51.0
10065_JaneBirkin_19_f.jpg,neutral,19.0
10066_JaneBirkin_19_f.jpg,neutral,19.0
10067_JaneBirkin_20_f.jpg,neutral,20.0
10068_JaneBirkin_21_f.jpg,neutral,21.0
10069_JaneBirkin_23_f.jpg,fear,23.0
1006_StephenHawking_36_m.jpg,happy,36.0
10070_JaneBirkin_24_f.jpg,fear,24.0
10071_JaneBirkin_25_f.jpg,fear,25.0
10072_JaneBirkin_27_f.jpg,fear,27.0
10073_JaneBirkin_28_f.jpg,neutral,28.0
10074_JaneBirkin_29_f.jpg,sad,29.0
10075_JaneBirkin_30_f.jpg,neutral,30.0
10076_JaneBirkin_31_f.jpg,happy,31.0
10077_JaneBirkin_32_f.jpg,neutral,32.0
10078_JaneBirkin_33_f.jpg,neutral,33.0
10079_JaneBirkin_35_f.jpg,sad,35.0
1007_StephenHawking_43_m.jpg,sad,43.0
10080_JaneBirkin_36_f.jpg,fear,36.0
10081_JaneBirkin_37_f.jpg,fear,37.0
10082_JaneBirkin_38_f.jpg,happy,38.0
10083_JaneBirkin_39_f.jpg,sad,39.0
10084_JaneBirkin_39_f.jpg,sad,39.0
10085_JaneBirkin_40_f.jpg,neutral,40.0
10086_JaneBirkin_41_f.jpg,neutral,41.0
10087_JaneBirkin_42_f.jpg,neutral,42.0
10088_JaneBirkin_44_f.jpg,neutral,44.0
10089_JaneBirkin_46_f.jpg,neutral,46.0
1008_StephenHawking_43_m.jpg,neutral,43.0
10090_JaneBirkin_47_f.jpg,neutral,47.0
10091_JaneBirkin_48_f.jpg,angry,48.0
10092_JaneBirkin_49_f.jpg,neutral,49.0
10093_JaneBirkin_50_f.jpg,happy,50.0
10094_JaneBirkin_52_f.jpg,happy,52.0
10095_JaneBirkin_53_f.jpg,happy,53.0
10096_JaneBirkin_55_f.jpg,happy,55.0
10097_JaneBirkin_56_f.jpg,happy,56.0
10098_JaneBirkin_58_f.jpg,neutral,58.0
10099_JaneBirkin_60_f.jpg,happy,60.0
1009_StephenHawking_46_m.jpg,happy,46.0
100_PaulAnka_52_m.jpg,happy,52.0
10100_JaneBirkin_63_f.jpg,happy,63.0
10101_JaneBirkin_64_f.jpg,happy,64.0
10102_JaneBirkin_67_f.jpg,fear,67.0
10103_JaneBirkin_68_f.jpg,neutral,68.0
10104_JaneFonda_59_f.jpg,happy,59.0
10105_JaneFonda_55_f.jpg,happy,55.0
10106_JaneFonda_25_f.jpg,neutral,25.0
10107_JaneFonda_25_f.jpg,happy,25.0
10108_JaneFonda_26_f.jpg,neutral,26.0
10109_JaneFonda_27_f.jpg,neutral,27.0
1010_StephenHawking_62_m.jpg,happy,62.0
10110_JaneFonda_28_f.jpg,sad,28.0
10111_JaneFonda_29_f.jpg,happy,29.0
10112_JaneFonda_30_f.jpg,neutral,30.0
10113_JaneFonda_31_f.jpg,neutral,31.0
10114_JaneFonda_33_f.jpg,happy,33.0
10115_JaneFonda_34_f.jpg,neutral,34.0
10116_JaneFonda_35_f.jpg,neutral,35.0
10117_JaneFonda_38_f.jpg,happy,38.0
10118_JaneFonda_39_f.jpg,neutral,39.0
10119_JaneFonda_40_f.jpg,happy,40.0
1011_StephenHawking_64_m.jpg,angry,64.0
10120_JaneFonda_41_f.jpg,happy,41.0
10121_JaneFonda_43_f.jpg,happy,43.0
10122_JaneFonda_49_f.jpg,neutral,49.0
10123_JaneFonda_53_f.jpg,happy,53.0
10124_JaneFonda_57_f.jpg,happy,57.0
10125_JaneFonda_62_f.jpg,happy,62.0
10126_JaneFonda_66_f.jpg,fear,66.0
10127_JaneFonda_68_f.jpg,happy,68.0
10128_JaneFonda_69_f.jpg,happy,69.0
10129_JaneFonda_70_f.jpg,happy,70.0
1012_StephenHawking_67_m.jpg,sad,67.0
10130_JaneFonda_71_f.jpg,happy,71.0
10131_JaneFonda_72_f.jpg,happy,72.0
10132_JaneFonda_74_f.jpg,happy,74.0
10133_JaneFonda_60_f.jpg,happy,60.0
10134_JoanCusack_18_f.jpg,fear,18.0
10135_JoanCusack_21_f.jpg,happy,21.0
10136_JoanCusack_22_f.jpg,neutral,22.0
10137_JoanCusack_23_f.jpg,happy,23.0
10138_JoanCusack_24_f.jpg,happy,24.0
10139_JoanCusack_25_f.jpg,neutral,25.0
1013_StephenHawking_67_m.jpg,sad,67.0
10140_JoanCusack_26_f.jpg,neutral,26.0
10141_JoanCusack_27_f.jpg,fear,27.0
10142_JoanCusack_28_f.jpg,sad,28.0
10143_JoanCusack_29_f.jpg,fear,29.0
10144_JoanCusack_31_f.jpg,fear,31.0
10145_JoanCusack_32_f.jpg,happy,32.0
10146_JoanCusack_33_f.jpg,sad,33.0
10147_JoanCusack_34_f.jpg,happy,34.0
10148_JoanCusack_35_f.jpg,happy,35.0
10149_JoanCusack_36_f.jpg,fear,36.0
1014_StephenHawking_67_m.jpg,neutral,67.0
10150_JoanCusack_37_f.jpg,surprise,37.0
10151_JoanCusack_37_f.jpg,happy,37.0
10152_JoanCusack_39_f.jpg,happy,39.0
10153_JoanCusack_40_f.jpg,happy,40.0
10154_JoanCusack_41_f.jpg,happy,41.0
10155_JoanCusack_42_f.jpg,happy,42.0
10156_JoanCusack_43_f.jpg,happy,43.0
10157_JoanCusack_45_f.jpg,happy,45.0
10158_JoanCusack_46_f.jpg,neutral,46.0
10159_JoanCusack_47_f.jpg,happy,47.0
1015_StephenHawking_40_m.jpg,neutral,40.0
10160_JoanCusack_49_f.jpg,neutral,49.0
10161_JoanCusack_50_f.jpg,neutral,50.0
10162_JoanCusack_50_f.jpg,angry,50.0
10163_JoanLeslie_13_f.jpg,angry,13.0
10164_JoanLeslie_16_f.jpg,neutral,16.0
10165_JoanLeslie_17_f.jpg,neutral,17.0
10166_JoanLeslie_19_f.jpg,angry,19.0
10167_JoanLeslie_21_f.jpg,neutral,21.0
10168_JoanLeslie_22_f.jpg,neutral,22.0
10169_JoanLeslie_23_f.jpg,sad,23.0
1016_StephenHawking_53_m.jpg,sad,53.0
10170_JoanLeslie_25_f.jpg,neutral,25.0
10171_JoanLeslie_26_f.jpg,angry,26.0
10172_JoanLeslie_28_f.jpg,neutral,28.0
10173_JoanLeslie_29_f.jpg,neutral,29.0
10174_JoanLeslie_30_f.jpg,happy,30.0
10175_JoanLeslie_32_f.jpg,neutral,32.0
10176_JoanLeslie_33_f.jpg,neutral,33.0
10177_JoanLeslie_35_f.jpg,neutral,35.0
10178_JoanLeslie_36_f.jpg,neutral,36.0
10179_JoanLeslie_38_f.jpg,happy,38.0
1017_StephenHawking_65_m.jpg,angry,65.0
10180_JoanLeslie_45_f.jpg,neutral,45.0
10181_JoanLeslie_50_f.jpg,happy,50.0
10182_JoanLeslie_59_f.jpg,happy,59.0
10183_JoanLeslie_74_f.jpg,happy,74.0
10184_JoanLeslie_77_f.jpg,happy,77.0
10185_JoanLeslie_78_f.jpg,happy,78.0
10186_JoanLeslie_80_f.jpg,happy,80.0
10187_JoanLeslie_81_f.jpg,happy,81.0
10188_JoanLeslie_83_f.jpg,happy,83.0
10189_JoanLeslie_84_f.jpg,happy,84.0
1018_StephenHawking_66_m.jpg,happy,66.0
10190_JoanLeslie_87_f.jpg,fear,87.0
10191_JulieAdams_24_f.jpg,happy,24.0
10192_JulieAdams_25_f.jpg,sad,25.0
10193_JulieAdams_28_f.jpg,happy,28.0
10194_JulieAdams_30_f.jpg,happy,30.0
10195_JulieAdams_32_f.jpg,fear,32.0
10196_JulieAdams_34_f.jpg,fear,34.0
10197_JulieAdams_35_f.jpg,happy,35.0
10198_JulieAdams_36_f.jpg,happy,36.0
10199_JulieAdams_39_f.jpg,neutral,39.0
1019_StephenHawking_53_m.jpg,neutral,53.0
101_PaulAnka_50_m.jpg,happy,50.0
10200_JulieAdams_41_f.jpg,neutral,41.0
10201_JulieAdams_45_f.jpg,neutral,45.0
10202_JulieAdams_49_f.jpg,neutral,49.0
10203_JulieAdams_50_f.jpg,happy,50.0
10204_JulieAdams_53_f.jpg,happy,53.0
10205_JulieAdams_55_f.jpg,happy,55.0
10206_JulieAdams_57_f.jpg,happy,57.0
10207_JulieAdams_59_f.jpg,happy,59.0
10208_JulieAdams_64_f.jpg,sad,64.0
10209_JulieAdams_67_f.jpg,sad,67.0
1020_StephenHawking_65_m.jpg,neutral,65.0
10210_JulieAdams_68_f.jpg,surprise,68.0
10211_JulieAdams_70_f.jpg,happy,70.0
10212_JulieAdams_73_f.jpg,happy,73.0
10213_JulieAdams_80_f.jpg,happy,80.0
10214_JulieAdams_84_f.jpg,happy,84.0
10215_JulieAdams_85_f.jpg,happy,85.0
10216_JulieAdams_87_f.jpg,happy,87.0
10217_JulieAdams_88_f.jpg,fear,88.0
10218_KathyBates_23_f.jpg,neutral,23.0
10219_KathyBates_23_f.jpg,fear,23.0
1021_StephenHawking_64_m.jpg,fear,64.0
10220_KathyBates_27_f.jpg,happy,27.0
10221_KathyBates_34_f.jpg,neutral,34.0
10222_KathyBates_38_f.jpg,sad,38.0
10223_KathyBates_43_f.jpg,sad,43.0
10224_KathyBates_43_f.jpg,fear,43.0
10225_KathyBates_47_f.jpg,neutral,47.0
10226_KathyBates_47_f.jpg,fear,47.0
10227_KathyBates_49_f.jpg,happy,49.0
10228_KathyBates_54_f.jpg,neutral,54.0
10229_KathyBates_46_f.jpg,happy,46.0
1022_StephenHawking_48_m.jpg,fear,48.0
10230_KathyBates_48_f.jpg,happy,48.0
10231_KathyBates_59_f.jpg,fear,59.0
10232_KathyBates_61_f.jpg,neutral,61.0
10233_KathyBates_62_f.jpg,fear,62.0
10234_KathyBates_57_f.jpg,happy,57.0
10235_KathyBates_54_f.jpg,angry,54.0
10236_KathyBates_56_f.jpg,happy,56.0
10237_KathyBates_59_f.jpg,happy,59.0
10238_KathyBates_60_f.jpg,sad,60.0
10239_KathyBates_60_f.jpg,fear,60.0
1023_StephenHawking_45_m.jpg,sad,45.0
10240_KathyBates_62_f.jpg,happy,62.0
