Image,MS,Qscore
10406201@N05/landmark_aligned_face.265.10017614003_067da22c0a_o.jpg,0.55,0.2444926
29671106@N00/landmark_aligned_face.195.11193006113_56900fc380_o.jpg,0.49,0.22613578
29671106@N00/landmark_aligned_face.187.10132405553_379a39f3ca_o.jpg,0.44,0.5573117
30601258@N03/landmark_aligned_face.2.10190308156_5c748ab2da_o.jpg,0.67,0.7088706
20254529@N04/landmark_aligned_face.26.11528357584_78b8f1e3f7_o.jpg,0.65,0.68888
29671106@N00/landmark_aligned_face.192.11193031783_4375d8a704_o.jpg,0.3,0.5343345
29671106@N00/landmark_aligned_face.198.11192897575_50ba9c797b_o.jpg,0.27,0.35632756
10044155@N06/landmark_aligned_face.145.11345832453_a6f691f233_o.jpg,0.28,0.7189555
37303189@N08/landmark_aligned_face.84.9305191408_6a7b261115_o.jpg,0.25,0.69073117
20254529@N04/landmark_aligned_face.17.9931592114_8704b6d0f9_o.jpg,0.39,0.42242455
10406201@N05/landmark_aligned_face.274.11036911875_9771db0003_o.jpg,0.13,0.6186904
37303189@N08/landmark_aligned_face.84.9233112649_b4f20d0c4a_o.jpg,0.46,0.05584438
10406201@N05/landmark_aligned_face.268.10266999016_0d32661b22_o.jpg,0.24,0.7596195
37303189@N08/landmark_aligned_face.84.8771198199_d768934e1e_o.jpg,0.24,0.5808467
30601258@N03/landmark_aligned_face.7.9505494278_2c88bd76cf_o.jpg,0.46,0.5698278
10044155@N06/landmark_aligned_face.147.11345648143_0726f9fde6_o.jpg,0.4,0.5132313
62501130@N02/landmark_aligned_face.100.11285939424_2c3e979fcc_o.jpg,0.67,0.7526481
29671106@N00/landmark_aligned_face.202.9058728049_31e2ffdd3f_o.jpg,0.43,0.62709516
29671106@N00/landmark_aligned_face.197.11192868835_b6fa8579f9_o.jpg,0.32,0.16371438
20254529@N04/landmark_aligned_face.18.11509488266_5158e7e86a_o.jpg,0.3,0.12907033
63153065@N07/landmark_aligned_face.239.9211153609_2c0c89058d_o.jpg,0.22,0.8613276
20254529@N04/landmark_aligned_face.13.9405998270_8db85a832d_o.jpg,0.52,0.3755914
10406201@N05/landmark_aligned_face.273.10265991733_ccb67cd6af_o.jpg,0.49,0.37740704
29671106@N00/landmark_aligned_face.193.9337190975_5de40aeee3_o.jpg,0.51,0.46434286
63153065@N07/landmark_aligned_face.235.9334168119_0f8427a2d2_o.jpg,0.58,0.64584637
63153065@N07/landmark_aligned_face.231.11922014474_660d5bbb3b_o.jpg,0.25,0.49820757
9017386@N06/landmark_aligned_face.205.10009111604_04818aa8f1_o.jpg,0.61,0.4370047
63153065@N07/landmark_aligned_face.235.11922021003_1af9147878_o.jpg,0.37,0.70890945
29671106@N00/landmark_aligned_face.188.9121135504_88e31103d3_o.jpg,0.34,0.28391382
63153065@N07/landmark_aligned_face.244.11051666663_2d0dd6b0ca_o.jpg,0.72,0.31507626
29671106@N00/landmark_aligned_face.193.11192864075_927da068ee_o.jpg,0.49,0.76191586
30601258@N03/landmark_aligned_face.2.11518638385_cac7193c86_o.jpg,0.26,0.6320096
9017386@N06/landmark_aligned_face.218.10770726424_3e8a5d9acb_o.jpg,0.61,0.46127474
10044155@N06/landmark_aligned_face.150.10744886826_ac1ae374cf_o.jpg,0.27,0.93510664
62501130@N02/landmark_aligned_face.99.11286000133_f8a1f8dd6b_o.jpg,0.19,0.23863178
30601258@N03/landmark_aligned_face.7.9429548405_70ee3d448a_o.jpg,0.48,0.25213712
10044155@N06/landmark_aligned_face.134.11345608563_4950c8b64c_o.jpg,0.52,0.5912991
63153065@N07/landmark_aligned_face.235.11922046334_542b5fe7e5_o.jpg,0.32,0.50149226
62501130@N02/landmark_aligned_face.99.11399439106_f3ea6a017c_o.jpg,0.33,0.66732484
29671106@N00/landmark_aligned_face.194.11192916406_3288dd6c8f_o.jpg,0.62,0.3455837
9017386@N06/landmark_aligned_face.205.9617189459_5bb7d5d106_o.jpg,0.81,0.3177998
29671106@N00/landmark_aligned_face.197.11192883874_1f4a3c2c2f_o.jpg,0.3,0.15768485
37303189@N08/landmark_aligned_face.87.8545178729_aa243fe68b_o.jpg,0.54,0.69307
29671106@N00/landmark_aligned_face.193.11193011473_c4131d0911_o.jpg,0.5,0.7184521
29671106@N00/landmark_aligned_face.202.8084102382_a0b89ce7d8_o.jpg,0.44,0.58850044
29671106@N00/landmark_aligned_face.189.9121130344_059f7807f2_o.jpg,0.38,0.55816996
62501130@N02/landmark_aligned_face.103.11285879585_2bc589e569_o.jpg,0.3,0.412408
30601258@N03/landmark_aligned_face.5.9914124745_f218c5b9f2_o.jpg,0.54,0.43844062
