Image,MS,Qscore
Tom_Hanks/Tom_Hanks_0007.jpg,0.23,0.46590385
Ray_Romano/Ray_Romano_0004.jpg,0.33,0.43383843
Mathias_Reichhold/Mathias_Reichhold_0003.jpg,0.15,0.4217173
Harry_Schmidt/Harry_Schmidt_0003.jpg,0.32,0.46233562
Rita_Wilson/Rita_Wilson_0002.jpg,0.17,0.50835013
Marco_Antonio_Barrera/Marco_Antonio_Barrera_0005.jpg,0.12,0.4615227
John_Kerry/John_Kerry_0006.jpg,0.22,0.49231133
Nia_Vardalos/Nia_Vardalos_0005.jpg,0.11,0.42819118
Kirk_Ferentz/Kirk_Ferentz_0002.jpg,0.45,0.49712414
Joschka_Fischer/Joschka_Fischer_0008.jpg,0.29,0.44421807
George_HW_Bush/George_HW_Bush_0010.jpg,0.18,0.48228142
Amanda_Coetzer/Amanda_Coetzer_0002.jpg,0.1,0.44136295
Jeremy_Greenstock/Jeremy_Greenstock_0019.jpg,0.22,0.45123294
Thomas_Wyman/Thomas_Wyman_0002.jpg,0.55,0.45706543
Natalie_Maines/Natalie_Maines_0001.jpg,0.35,0.4538348
John_Abizaid/John_Abizaid_0001.jpg,0.22,0.4983577
Thabo_Mbeki/Thabo_Mbeki_0003.jpg,0.41,0.4650855
Arnaud_Clement/Arnaud_Clement_0001.jpg,0.52,0.4457695
Steffi_Graf/Steffi_Graf_0001.jpg,0.69,0.4917078
Eric_Rosser/Eric_Rosser_0002.jpg,0.2,0.37130517
John_Kerry/John_Kerry_0011.jpg,0.45,0.5135849
Amelia_Vega/Amelia_Vega_0003.jpg,0.1,0.4351089
Rick_Perry/Rick_Perry_0004.jpg,0.24,0.46504298
Michael_Kostelnik/Michael_Kostelnik_0002.jpg,0.38,0.41003728
Ali_Naimi/Ali_Naimi_0001.jpg,0.16,0.45946082
Amelie_Mauresmo/Amelie_Mauresmo_0011.jpg,0.51,0.41708073
Laurent_Gbagbo/Laurent_Gbagbo_0002.jpg,0.43,0.45878392
Jack_Straw/Jack_Straw_0020.jpg,0.15,0.48834768
Cesar_Gaviria/Cesar_Gaviria_0004.jpg,0.18,0.4686723
Arnoldo_Aleman/Arnoldo_Aleman_0002.jpg,0.14,0.50826246
Lou_Piniella/Lou_Piniella_0001.jpg,0.36,0.52503014
David_Hyde_Pierce/David_Hyde_Pierce_0003.jpg,0.29,0.45576817
Renee_Zellweger/Renee_Zellweger_0017.jpg,0.26,0.506872
Chita_Rivera/Chita_Rivera_0001.jpg,0.29,0.46376684
Amelie_Mauresmo/Amelie_Mauresmo_0013.jpg,0.26,0.4622032
Ruben_Studdard/Ruben_Studdard_0002.jpg,0.22,0.44865686
Yukiko_Okudo/Yukiko_Okudo_0001.jpg,0.48,0.471233
Victoria_Clarke/Victoria_Clarke_0002.jpg,0.28,0.4921097
Heidi_Klum/Heidi_Klum_0001.jpg,0.3,0.48935378
Justin_Timberlake/Justin_Timberlake_0007.jpg,0.39,0.47227058
John_Abizaid/John_Abizaid_0009.jpg,0.66,0.49293435
Jim_Edmonds/Jim_Edmonds_0002.jpg,0.51,0.44965658
Javier_Weber/Javier_Weber_0003.jpg,0.53,0.49969834
Meryl_Streep/Meryl_Streep_0008.jpg,0.58,0.40863475
Brigitte_Boisselier/Brigitte_Boisselier_0001.jpg,0.13,0.45658505
John_Bolton/John_Bolton_0005.jpg,0.37,0.4365463
Federico_Trillo/Federico_Trillo_0002.jpg,0.28,0.48668265
Colin_Farrell/Colin_Farrell_0008.jpg,0.31,0.46940947
Hitomi_Soga/Hitomi_Soga_0005.jpg,0.12,0.476514
Ana_Guevara/Ana_Guevara_0002.jpg,0.35,0.43073443
Ray_Romano/Ray_Romano_0001.jpg,0.3,0.4646309
Madonna/Madonna_0004.jpg,0.3,0.47171548
Ali_Naimi/Ali_Naimi_0005.jpg,0.21,0.45658967
Justin_Timberlake/Justin_Timberlake_0005.jpg,0.35,0.43907276
Luciano_Pavarotti/Luciano_Pavarotti_0002.jpg,0.33,0.50127155
Thomas_OBrien/Thomas_OBrien_0003.jpg,0.26,0.4641856
Tang_Jiaxuan/Tang_Jiaxuan_0007.jpg,0.17,0.375312
Hee-Won_Han/Hee-Won_Han_0002.jpg,0.11,0.46162546
Larry_Thompson/Larry_Thompson_0002.jpg,0.3,0.49558097
Ray_Romano/Ray_Romano_0008.jpg,0.22,0.42874533
Tracee_Ellis_Ross/Tracee_Ellis_Ross_0001.jpg,0.15,0.5304626
Bill_Graham/Bill_Graham_0009.jpg,0.57,0.43106583
Tom_Craddick/Tom_Craddick_0002.jpg,0.33,0.46376452
Roberto_Benigni/Roberto_Benigni_0001.jpg,0.12,0.4569252
Amanda_Bynes/Amanda_Bynes_0001.jpg,0.4,0.49344817
Derek_Jeter/Derek_Jeter_0002.jpg,0.38,0.49879763
Michael_Keaton/Michael_Keaton_0001.jpg,0.56,0.45221743
Hee-Won_Han/Hee-Won_Han_0003.jpg,0.13,0.4973366
Julia_Tymoshenko/Julia_Tymoshenko_0002.jpg,0.41,0.49669185
Gary_Williams/Gary_Williams_0001.jpg,0.61,0.503599
Al_Pacino/Al_Pacino_0001.jpg,0.2,0.4562336
Tom_Watson/Tom_Watson_0002.jpg,0.2,0.43773216
Tom_Daschle/Tom_Daschle_0024.jpg,0.21,0.45283955
Rainer_Schuettler/Rainer_Schuettler_0004.jpg,0.36,0.4370692
Vojislav_Kostunica/Vojislav_Kostunica_0005.jpg,0.28,0.46267834
Joschka_Fischer/Joschka_Fischer_0007.jpg,0.26,0.49210656
John_Kerry/John_Kerry_0014.jpg,0.27,0.45032698
