Image,MS,Qscore
Tom_Hanks/Tom_Hanks_0007.jpg,0.23,0.51385134
Ray_Romano/Ray_Romano_0004.jpg,0.33,0.22964488
Mathias_Reichhold/Mathias_Reichhold_0003.jpg,0.15,0.5568381
Harry_Schmidt/Harry_Schmidt_0003.jpg,0.32,0.52616066
Rita_Wilson/Rita_Wilson_0002.jpg,0.17,0.32605812
Marco_Antonio_Barrera/Marco_Antonio_Barrera_0005.jpg,0.12,0.287601
John_Kerry/John_Kerry_0006.jpg,0.22,0.8399567
Nia_Vardalos/Nia_Vardalos_0005.jpg,0.11,0.22833113
Kirk_Ferentz/Kirk_Ferentz_0002.jpg,0.45,0.51380837
Joschka_Fischer/Joschka_Fischer_0008.jpg,0.29,0.28629023
George_HW_Bush/George_HW_Bush_0010.jpg,0.18,0.5603767
Amanda_Coetzer/Amanda_Coetzer_0002.jpg,0.1,0.23455915
Jeremy_Greenstock/Jeremy_Greenstock_0019.jpg,0.22,0.68882835
Thomas_Wyman/Thomas_Wyman_0002.jpg,0.55,0.7276128
Natalie_Maines/Natalie_Maines_0001.jpg,0.35,0.45239693
John_Abizaid/John_Abizaid_0001.jpg,0.22,0.90263414
Thabo_Mbeki/Thabo_Mbeki_0003.jpg,0.41,0.5988188
Arnaud_Clement/Arnaud_Clement_0001.jpg,0.52,0.70193845
Steffi_Graf/Steffi_Graf_0001.jpg,0.69,0.6699716
Eric_Rosser/Eric_Rosser_0002.jpg,0.2,0.50427526
John_Kerry/John_Kerry_0011.jpg,0.45,0.5624849
Amelia_Vega/Amelia_Vega_0003.jpg,0.1,0.26527816
Rick_Perry/Rick_Perry_0004.jpg,0.24,0.3011123
Michael_Kostelnik/Michael_Kostelnik_0002.jpg,0.38,0.9249209
Ali_Naimi/Ali_Naimi_0001.jpg,0.16,0.54214394
Amelie_Mauresmo/Amelie_Mauresmo_0011.jpg,0.51,0.62665576
Laurent_Gbagbo/Laurent_Gbagbo_0002.jpg,0.43,0.12764098
Jack_Straw/Jack_Straw_0020.jpg,0.15,0.5815773
Cesar_Gaviria/Cesar_Gaviria_0004.jpg,0.18,0.31221765
Arnoldo_Aleman/Arnoldo_Aleman_0002.jpg,0.14,0.58344454
Lou_Piniella/Lou_Piniella_0001.jpg,0.36,0.22149412
David_Hyde_Pierce/David_Hyde_Pierce_0003.jpg,0.29,0.43332854
Renee_Zellweger/Renee_Zellweger_0017.jpg,0.26,0.3103631
Chita_Rivera/Chita_Rivera_0001.jpg,0.29,0.30453196
Amelie_Mauresmo/Amelie_Mauresmo_0013.jpg,0.26,0.2985365
Ruben_Studdard/Ruben_Studdard_0002.jpg,0.22,0.35791907
Yukiko_Okudo/Yukiko_Okudo_0001.jpg,0.48,0.3184921
Victoria_Clarke/Victoria_Clarke_0002.jpg,0.28,0.50002277
Heidi_Klum/Heidi_Klum_0001.jpg,0.3,0.6482676
Justin_Timberlake/Justin_Timberlake_0007.jpg,0.39,0.23998366
John_Abizaid/John_Abizaid_0009.jpg,0.66,0.3611067
Jim_Edmonds/Jim_Edmonds_0002.jpg,0.51,0.7125575
Javier_Weber/Javier_Weber_0003.jpg,0.53,0.25545996
Meryl_Streep/Meryl_Streep_0008.jpg,0.58,0.80873907
Brigitte_Boisselier/Brigitte_Boisselier_0001.jpg,0.13,0.6723256
John_Bolton/John_Bolton_0005.jpg,0.37,0.91996944
Federico_Trillo/Federico_Trillo_0002.jpg,0.28,0.66094226
Colin_Farrell/Colin_Farrell_0008.jpg,0.31,0.45693722
Hitomi_Soga/Hitomi_Soga_0005.jpg,0.12,0.29872927
Ana_Guevara/Ana_Guevara_0002.jpg,0.35,0.5015987
Ray_Romano/Ray_Romano_0001.jpg,0.3,0.5238705
Madonna/Madonna_0004.jpg,0.3,0.683442
Ali_Naimi/Ali_Naimi_0005.jpg,0.21,0.46573386
Justin_Timberlake/Justin_Timberlake_0005.jpg,0.35,0.107855506
Luciano_Pavarotti/Luciano_Pavarotti_0002.jpg,0.33,0.4065297
Thomas_OBrien/Thomas_OBrien_0003.jpg,0.26,0.62074155
Tang_Jiaxuan/Tang_Jiaxuan_0007.jpg,0.17,0.36960462
Hee-Won_Han/Hee-Won_Han_0002.jpg,0.11,0.44245067
Larry_Thompson/Larry_Thompson_0002.jpg,0.3,0.5280173
Ray_Romano/Ray_Romano_0008.jpg,0.22,0.4892169
Tracee_Ellis_Ross/Tracee_Ellis_Ross_0001.jpg,0.15,0.9193447
Bill_Graham/Bill_Graham_0009.jpg,0.57,0.64246106
Tom_Craddick/Tom_Craddick_0002.jpg,0.33,0.20418215
Roberto_Benigni/Roberto_Benigni_0001.jpg,0.12,0.76031363
Amanda_Bynes/Amanda_Bynes_0001.jpg,0.4,0.17310168
Derek_Jeter/Derek_Jeter_0002.jpg,0.38,0.7723553
Michael_Keaton/Michael_Keaton_0001.jpg,0.56,0.16884325
Hee-Won_Han/Hee-Won_Han_0003.jpg,0.13,0.6019489
Julia_Tymoshenko/Julia_Tymoshenko_0002.jpg,0.41,0.4488232
Gary_Williams/Gary_Williams_0001.jpg,0.61,0.61976373
Al_Pacino/Al_Pacino_0001.jpg,0.2,0.5205197
Tom_Watson/Tom_Watson_0002.jpg,0.2,0.1934288
Tom_Daschle/Tom_Daschle_0024.jpg,0.21,0.77717316
Rainer_Schuettler/Rainer_Schuettler_0004.jpg,0.36,0.71090066
Vojislav_Kostunica/Vojislav_Kostunica_0005.jpg,0.28,0.43123546
Joschka_Fischer/Joschka_Fischer_0007.jpg,0.26,0.3663449
John_Kerry/John_Kerry_0014.jpg,0.27,0.64337456
Tammy_Lynn_Michaels/Tammy_Lynn_Michaels_0002.jpg,0.23,0.44029635
Rob_Lowe/Rob_Lowe_0004.jpg,0.57,0.2974799
Jose_Viegas_Filho/Jose_Viegas_Filho_0001.jpg,0.17,0.8544586
Amelia_Vega/Amelia_Vega_0001.jpg,0.16,0.6409477
Bob_Stoops/Bob_Stoops_0005.jpg,0.25,0.16837943
Sharon_Davis/Sharon_Davis_0001.jpg,0.64,0.42251605
Tom_Daschle/Tom_Daschle_0009.jpg,0.42,0.50264424
Tom_Daschle/Tom_Daschle_0020.jpg,0.25,0.7345679
Thomas_OBrien/Thomas_OBrien_0008.jpg,0.41,0.8549253
Ricardo_Sanchez/Ricardo_Sanchez_0004.jpg,0.27,0.19924693
Ali_Naimi/Ali_Naimi_0008.jpg,0.27,0.23079601
Zhu_Rongji/Zhu_Rongji_0006.jpg,0.22,0.61587995
John_Taylor/John_Taylor_0001.jpg,0.14,0.85073805
Eva_Dimas/Eva_Dimas_0002.jpg,0.13,0.59317094
Tang_Jiaxuan/Tang_Jiaxuan_0006.jpg,0.19,0.329318
Elena_Bovina/Elena_Bovina_0001.jpg,0.54,0.45294708
Thomas_OBrien/Thomas_OBrien_0005.jpg,0.24,0.5821633
Tom_Hanks/Tom_Hanks_0010.jpg,0.25,0.23934174
Tim_Chapman/Tim_Chapman_0001.jpg,0.47,0.5640835
Robert_Witt/Robert_Witt_0001.jpg,0.27,0.6252342
Ellen_Engleman/Ellen_Engleman_0001.jpg,0.59,0.47197956
Lee_Hoi-chang/Lee_Hoi-chang_0001.jpg,0.24,0.46155125
Justin_Timberlake/Justin_Timberlake_0002.jpg,0.28,0.16096862
Russell_Simmons/Russell_Simmons_0004.jpg,0.19,0.24777322
Bode_Miller/Bode_Miller_0002.jpg,0.12,0.5674074
Thomas_Malchow/Thomas_Malchow_0002.jpg,0.24,0.537279
Jim_Hahn/Jim_Hahn_0002.jpg,0.29,0.6347613
Jean_Chretien/Jean_Chretien_0015.jpg,0.19,0.88455224
Augusto_Pinochet/Augusto_Pinochet_0001.jpg,0.34,0.8111849
Arantxa_Sanchez-Vicario/Arantxa_Sanchez-Vicario_0001.jpg,0.47,0.32341573
Ben_Affleck/Ben_Affleck_0005.jpg,0.26,0.24987727
Bernard_Law/Bernard_Law_0004.jpg,0.4,0.4589697
Ken_Watanabe/Ken_Watanabe_0002.jpg,0.35,0.43195283
Michael_Patrick_King/Michael_Patrick_King_0001.jpg,0.1,0.2506536
John_Rowland/John_Rowland_0002.jpg,0.46,0.80527204
Bertie_Ahern/Bertie_Ahern_0002.jpg,0.38,0.84247494
Juan_Carlos_Ferrero/Juan_Carlos_Ferrero_0014.jpg,0.73,0.15298249
Carly_Fiorina/Carly_Fiorina_0001.jpg,0.53,0.64917856
Elizabeth_Smart/Elizabeth_Smart_0001.jpg,0.25,0.2566239
Heidi_Klum/Heidi_Klum_0003.jpg,0.18,0.1786986
Gonzalo_Sanchez_de_Lozada/Gonzalo_Sanchez_de_Lozada_0007.jpg,0.21,0.73603225
Christine_Gregoire/Christine_Gregoire_0002.jpg,0.19,0.6792701
Susan_Sarandon/Susan_Sarandon_0005.jpg,0.24,0.38175797
Sally_Ride/Sally_Ride_0001.jpg,0.1,0.4973347
Nicholas_Tse/Nicholas_Tse_0001.jpg,0.55,0.37248248
Fayssal_Mekdad/Fayssal_Mekdad_0003.jpg,0.34,0.74202424
Asa_Hutchinson/Asa_Hutchinson_0001.jpg,0.49,0.38491917
Rainer_Schuettler/Rainer_Schuettler_0005.jpg,0.18,0.69802594
Carlos_Moya/Carlos_Moya_0001.jpg,0.15,0.581882
Kristen_Breitweiser/Kristen_Breitweiser_0001.jpg,0.43,0.22069964
Ariel_Sharon/Ariel_Sharon_0069.jpg,0.23,0.6795831
Ian_McKellen/Ian_McKellen_0001.jpg,0.16,0.8616246
Larry_Thompson/Larry_Thompson_0004.jpg,0.32,0.20216845
Barbara_Walters/Barbara_Walters_0003.jpg,0.17,0.5030695
Jean_Chretien/Jean_Chretien_0024.jpg,0.2,0.4087168
Gil_de_Ferran/Gil_de_Ferran_0001.jpg,0.45,0.47706154
Ben_Affleck/Ben_Affleck_0004.jpg,0.26,0.19461332
Amelie_Mauresmo/Amelie_Mauresmo_0005.jpg,0.26,0.44301063
Zhu_Rongji/Zhu_Rongji_0008.jpg,0.62,0.7768784
Mathias_Reichhold/Mathias_Reichhold_0001.jpg,0.17,0.46012726
Bill_Frist/Bill_Frist_0008.jpg,0.3,0.7488316
Paris_Hilton/Paris_Hilton_0001.jpg,0.26,0.75839543
Michael_Chang/Michael_Chang_0003.jpg,0.23,0.18541384
Emmanuelle_Beart/Emmanuelle_Beart_0001.jpg,0.21,0.34051535
Nicholas_Tse/Nicholas_Tse_0002.jpg,0.55,0.28986925
Zarai_Toledo/Zarai_Toledo_0001.jpg,0.39,0.6055892
Bertrand_Bonello/Bertrand_Bonello_0001.jpg,0.15,0.7163197
Abdullah_al-Attiyah/Abdullah_al-Attiyah_0002.jpg,0.42,0.29664475
Rita_Wilson/Rita_Wilson_0003.jpg,0.1,0.5156494
Gary_Williams/Gary_Williams_0002.jpg,0.61,0.60821825
Jack_Straw/Jack_Straw_0022.jpg,0.14,0.42066792
Joschka_Fischer/Joschka_Fischer_0005.jpg,0.28,0.461728
Bernard_Law/Bernard_Law_0001.jpg,0.35,0.63840044
Bill_Frist/Bill_Frist_0007.jpg,0.28,0.46745694
Elvis_Presley/Elvis_Presley_0002.jpg,0.08,0.1992133
Bill_Graham/Bill_Graham_0001.jpg,0.42,0.5753214
Colin_Farrell/Colin_Farrell_0007.jpg,0.17,0.79595786
Thomas_OBrien/Thomas_OBrien_0004.jpg,0.24,0.7147748
Carlos_Moya/Carlos_Moya_0008.jpg,0.24,0.7345228
Mark_Wahlberg/Mark_Wahlberg_0002.jpg,0.42,0.84349346
Cathy_Freeman/Cathy_Freeman_0002.jpg,0.41,0.0939161
Bob_Stoops/Bob_Stoops_0006.jpg,0.23,0.3023237
Gonzalo_Sanchez_de_Lozada/Gonzalo_Sanchez_de_Lozada_0005.jpg,0.25,0.40245968
John_Bolton/John_Bolton_0016.jpg,0.39,0.4182918
John_Reid/John_Reid_0002.jpg,0.24,0.9177568
Renee_Zellweger/Renee_Zellweger_0010.jpg,0.2,0.1827987
Steffi_Graf/Steffi_Graf_0004.jpg,0.84,0.63885915
Steve_Backley/Steve_Backley_0002.jpg,0.21,0.40184686
Thomas_OBrien/Thomas_OBrien_0007.jpg,0.31,0.53385395
Eileen_Coparropa/Eileen_Coparropa_0001.jpg,0.22,0.4414355
Hitomi_Soga/Hitomi_Soga_0002.jpg,0.16,0.7841758
Eric_Clapton/Eric_Clapton_0001.jpg,0.13,0.48782095
Kurt_Busch/Kurt_Busch_0002.jpg,0.55,0.1641144
Aicha_El_Ouafi/Aicha_El_Ouafi_0003.jpg,0.11,0.41280797
Martha_Burk/Martha_Burk_0003.jpg,0.27,0.5034592
Tim_Chapman/Tim_Chapman_0002.jpg,0.47,0.6588286
Rita_Wilson/Rita_Wilson_0001.jpg,0.19,0.36834642
Elizabeth_Dole/Elizabeth_Dole_0003.jpg,0.16,0.25885868
Roberto_Benigni/Roberto_Benigni_0002.jpg,0.12,0.73111165
Maggie_Smith/Maggie_Smith_0002.jpg,0.54,0.27547368
Ariel_Sharon/Ariel_Sharon_0012.jpg,0.28,0.47449228
Arnoldo_Aleman/Arnoldo_Aleman_0004.jpg,0.15,0.7400014
Bernard_Law/Bernard_Law_0003.jpg,0.49,0.63480514
Bob_Hope/Bob_Hope_0007.jpg,0.31,0.38021958
Brigitte_Boisselier/Brigitte_Boisselier_0002.jpg,0.13,0.59709966
Monique_Garbrecht-Enfeldt/Monique_Garbrecht-Enfeldt_0003.jpg,0.54,0.39956465
Edward_Kennedy/Edward_Kennedy_0001.jpg,0.23,0.7265329
Lars_Von_Trier/Lars_Von_Trier_0003.jpg,0.2,0.53255326
Chung_Mong-hun/Chung_Mong-hun_0001.jpg,0.46,0.44795677
Grady_Irvin_Jr/Grady_Irvin_Jr_0001.jpg,0.25,0.6300735
Pierre_Pettigrew/Pierre_Pettigrew_0002.jpg,0.35,0.41756332
Bernard_Law/Bernard_Law_0005.jpg,0.37,0.5796706
Makhdoom_Amin_Fahim/Makhdoom_Amin_Fahim_0001.jpg,0.26,0.545598
Garry_Kasparov/Garry_Kasparov_0002.jpg,0.22,0.80933255
Bob_Stoops/Bob_Stoops_0004.jpg,0.43,0.04412836
Kurt_Busch/Kurt_Busch_0001.jpg,0.55,0.47227246
Steve_Backley/Steve_Backley_0001.jpg,0.21,0.66389614
Vojislav_Kostunica/Vojislav_Kostunica_0001.jpg,0.52,0.4383699
Mike_Scioscia/Mike_Scioscia_0002.jpg,0.16,0.66299653
Heidi_Klum/Heidi_Klum_0005.jpg,0.19,0.7752632
Charles_Mathews/Charles_Mathews_0001.jpg,0.39,0.25645718
Federico_Trillo/Federico_Trillo_0003.jpg,0.23,0.24109447
Meryl_Streep/Meryl_Streep_0015.jpg,0.7,0.4528278
Vladimiro_Montesinos/Vladimiro_Montesinos_0003.jpg,0.5,0.5845717
Joan_Claybrook/Joan_Claybrook_0002.jpg,0.45,0.9166828
Colin_Farrell/Colin_Farrell_0004.jpg,0.28,0.17402312
Kelli_White/Kelli_White_0001.jpg,0.29,0.23471913
Stacy_Dragila/Stacy_Dragila_0001.jpg,0.99,0.44539648
Zhu_Rongji/Zhu_Rongji_0007.jpg,0.32,0.34276885
Joe_Gatti/Joe_Gatti_0002.jpg,0.44,0.71074367
Tom_Hanks/Tom_Hanks_0005.jpg,0.43,0.5335496
Dwayne_Johnson/Dwayne_Johnson_0002.jpg,0.25,0.5599057
Colin_Farrell/Colin_Farrell_0006.jpg,0.1,0.44609332
Rob_Marshall/Rob_Marshall_0005.jpg,0.18,0.22940792
Madonna/Madonna_0003.jpg,0.59,0.14476691
Ben_Curtis/Ben_Curtis_0002.jpg,0.37,0.23860186
Al_Pacino/Al_Pacino_0003.jpg,0.18,0.61791664
Tom_Hanks/Tom_Hanks_0001.jpg,0.21,0.76218754
Jim_Edmonds/Jim_Edmonds_0001.jpg,0.51,0.397304
Cameron_Diaz/Cameron_Diaz_0001.jpg,0.25,0.5744738
Tamara_Brooks/Tamara_Brooks_0001.jpg,0.04,0.22948286
Ray_Allen/Ray_Allen_0001.jpg,0.5,0.44503835
Pupi_Avati/Pupi_Avati_0003.jpg,0.3,0.8157684
George_HW_Bush/George_HW_Bush_0005.jpg,0.2,0.42248702
Michael_Chang/Michael_Chang_0008.jpg,0.2,0.50358206
Bill_Graham/Bill_Graham_0007.jpg,0.55,0.8521016
Brad_Johnson/Brad_Johnson_0004.jpg,0.71,0.7476704
Al_Davis/Al_Davis_0001.jpg,0.17,0.73131025
Thabo_Mbeki/Thabo_Mbeki_0001.jpg,0.45,0.76706296
Juan_Carlos_Ferrero/Juan_Carlos_Ferrero_0007.jpg,0.48,0.4391209
George_Clooney/George_Clooney_0009.jpg,0.34,0.48712602
Nia_Vardalos/Nia_Vardalos_0002.jpg,0.24,0.4646574
Ana_Guevara/Ana_Guevara_0006.jpg,0.22,0.53477734
Michael_Chang/Michael_Chang_0007.jpg,0.29,0.276617
Ian_Thorpe/Ian_Thorpe_0008.jpg,0.24,0.08716333
Yu_Shyi-kun/Yu_Shyi-kun_0003.jpg,0.13,0.15236922
Ariel_Sharon/Ariel_Sharon_0018.jpg,0.26,0.6158481
Hitomi_Soga/Hitomi_Soga_0001.jpg,0.18,0.66931236
John_Banko/John_Banko_0002.jpg,0.35,0.8040071
Marco_Antonio_Barrera/Marco_Antonio_Barrera_0001.jpg,0.45,0.580913
Juan_Carlos_Ferrero/Juan_Carlos_Ferrero_0027.jpg,0.36,0.7077175
Madonna/Madonna_0005.jpg,0.3,0.50756425
Olivia_Newton-John/Olivia_Newton-John_0001.jpg,0.16,0.33225584
Julio_Iglesias_Jr/Julio_Iglesias_Jr_0001.jpg,0.14,0.3011422
George_HW_Bush/George_HW_Bush_0008.jpg,0.22,0.7041995
Kristen_Breitweiser/Kristen_Breitweiser_0002.jpg,0.44,0.14793707
Natalie_Cole/Natalie_Cole_0001.jpg,0.08,0.16186467
Michelle_Pfeiffer/Michelle_Pfeiffer_0001.jpg,0.73,0.5217152
Renee_Zellweger/Renee_Zellweger_0011.jpg,0.21,0.6634892
GL_Peiris/GL_Peiris_0001.jpg,0.26,0.4802363
Ian_Thorpe/Ian_Thorpe_0009.jpg,0.14,0.24499743
Ali_Naimi/Ali_Naimi_0007.jpg,0.2,0.65203524
Jack_Straw/Jack_Straw_0027.jpg,0.17,0.65655905
