Image,MS,Qscore
S388-13-t10_01.jpg,0.85,0.4037488
S429-05-t10_01.jpg,0.17,0.18986484
S388-04-t10_01.jpg,0.7,0.5129939
S513-01-t10_01.jpg,0.71,0.38732654
S027-01-t10_01.jpg,0.19,0.852793
S473-01-t10_01.jpg,0.48,0.6330597
S507-04-t10_01.jpg,0.3,0.4708351
S395-01-t10_01.jpg,0.85,0.20003448
S491-01-t10_01.jpg,0.79,0.39364284
S426-02-t10_02.jpg,0.17,0.7468152
S309-01-t10_01.jpg,0.71,0.4030831
S095-02-t10_01.jpg,0.33,0.40976575
S054-02-t10_01.jpg,0.84,0.46190724
S495-02-t10_01.jpg,0.75,0.8735391
S493-01-t10_01.jpg,0.85,0.21554084
S411-06-t10_03.jpg,0.96,0.74420583
S044-02-t10_01.jpg,0.58,0.81133455
S382-05-t10_01.jpg,0.82,0.56874
S133-02-t10_01.jpg,0.79,0.11655997
S254-01-t10_01.jpg,0.63,0.53265315
S388-17-t10_01.jpg,0.77,0.20084585
S429-10-t10_01.jpg,0.72,0.274064
S008-01-t10_01.jpg,0.83,0.42803374
S512-01-t10_01.jpg,0.73,0.27568814
S391-02-t10_01.jpg,0.76,0.7603836
S423-02-t10_01.jpg,0.85,0.6281001
S425-07-t10_01.jpg,0.93,0.24863887
S198-02-t10_01.jpg,0.85,0.50804865
S288-03-t10_01.jpg,0.87,0.7073612
S296-09-t10_01.jpg,0.85,0.7242821
S404-05-t10_01.jpg,0.76,0.7504884
S273-03-t10_01.jpg,0.66,0.5536302
S375-02-t10_01.jpg,0.86,0.110391386
S045-01-t10_01.jpg,0.15,0.33994278
S148-03-t10_01.jpg,0.87,0.513783
S316-04-t10_01.jpg,0.76,0.39131525
S023-02-t10_01.jpg,0.81,0.60252243
S228-01-t10_01.jpg,0.18,0.2348463
S240-02-t10_01.jpg,0.9,0.67682236
S185-02-t10_01.jpg,0.4,0.50961524
S321-02-t10_01.jpg,0.66,0.3912751
S427-02-t10_01.jpg,0.82,0.7260376
S280-02-t10_01.jpg,0.87,0.6385155
S468-01-t10_02.jpg,0.19,0.5804254
S022-02-t10_01.jpg,0.58,0.85776156
S324-01-t10_01.jpg,0.93,0.15837795
S132-02-t10_01.jpg,0.43,0.7237294
S044-07-t10_01.jpg,0.65,0.64767104
S300-01-t10_01.jpg,0.43,0.14856684
S484-02-t10_01.jpg,0.36,0.44252175
S171-07-t10_01.jpg,0.83,0.5402583
S401-07-t10_01.jpg,0.24,0.6620961
S415-03-t10_01.jpg,0.78,0.26364195
S440-01-t10_01.jpg,0.82,0.7122641
S412-02-t10_01.jpg,0.73,0.68239677
S447-04-t10_01.jpg,0.89,0.37263498
S259-01-t10_01.jpg,0.28,0.71377665
S480-03-t10_01.jpg,0.78,0.822948
S514-01-t10_01.jpg,0.11,0.75860685
S419-07-t10_01.jpg,0.92,0.14887245
S190-01-t10_01.jpg,0.89,0.3805477
S460-02-t10_01.jpg,0.22,0.58201694
S163-01-t10_01.jpg,0.57,0.6333496
S364-01-t10_01.jpg,0.8,0.22747065
S468-02-t10_01.jpg,0.33,0.10668167
S381-01-t10_01.jpg,0.64,0.25804168
S425-05-t10_01.jpg,0.77,0.55703187
S443-06-t10_01.jpg,0.83,0.39101794
