Image,MS,Adj_MS,Emotion_Similarity,label
8940_ErnestBorgnine_88_m.jpg,0.57,0.59,0.5,1
14212_GeraldinePage_60_f.jpg,0.53,0.44,0.26,1
9169_PeterSellers_33_m.jpg,0.59,0.43,0.36,1
8902_ChristopherEccleston_46_m.jpg,0.5,0.4,0.58,0
1600_AlCorley_29_m.jpg,0.44,0.33,0.12,0
10511_FayeDunaway_37_f.jpg,0.55,0.47,0.64,1
15724_MargaretNolan_70_f.jpg,0.5,0.44,0.28,0
8717_RichardAttenborough_25_m.jpg,0.48,0.37,0.39,0
7632_TellySavalas_62_m.jpg,0.57,0.49,0.17,1
6568_LeeJCobb_55_m.jpg,0.29,0.24,0.04,0
10970_DonnaDouglas_26_f.jpg,0.44,0.34,0.04,0
8329_RichardCrenna_52_m.jpg,0.59,0.51,0.38,1
3149_DannyDeVito_54_m.jpg,0.59,0.5,0.17,1
1063_EnricoFermi_47_m.jpg,0.67,0.53,0.5,1
1762_TomHanks_28_m.jpg,0.54,0.41,0.31,1
12911_BarbraStreisand_30_f.jpg,0.59,0.45,0.13,1
15659_KatharineRoss_70_f.jpg,0.51,0.48,0.38,1
8855_ArnoldSchwarzenegger_65_m.jpg,0.55,0.49,0.28,1
6503_JohnnyCash_46_m.jpg,0.61,0.49,0.55,1
15801_SarahDouglas_49_f.jpg,0.55,0.46,0.4,1
7174_JohnGarfield_33_m.jpg,0.6,0.45,0.44,1
7731_VincentPrice_54_m.jpg,0.54,0.47,0.2,1
15165_ConnieBooth_48_f.jpg,0.57,0.48,0.09,1
1312_AlbertCamus_7_m.jpg,0.36,0.28,0.48,0
535_angelamerkel_51_f.jpg,0.63,0.42,0.11,1
8705_MurrayHamilton_54_m.jpg,0.63,0.53,0.42,1
5732_TommyLeeJones_31_m.jpg,0.53,0.45,0.41,1
4576_Fernandel_59_m.jpg,0.55,0.48,0.16,1
10981_DonnaDouglas_40_f.jpg,0.55,0.46,0.75,1
11129_JuneLockhart_48_f.jpg,0.35,0.32,0.72,0
3829_StacyKeach_67_m.jpg,0.59,0.52,0.05,1
15001_AnnMiller_15_f.jpg,0.39,0.31,0.05,0
16284_campbell_30_f.jpg,0.53,0.39,0.24,1
7622_TellySavalas_49_m.jpg,0.58,0.48,0.48,1
5743_TommyLeeJones_47_m.jpg,0.63,0.52,0.41,1
5858_HerbertLom_52_m.jpg,0.54,0.5,0.48,1
13819_VanessaRedgrave_54_f.jpg,0.48,0.42,0.05,0
8334_RichardCrenna_60_m.jpg,0.53,0.46,0.38,1
348_Onasis_62_m.jpg,0.52,0.37,0.12,1
5092_AnthonyHopkins_63_m.jpg,0.55,0.45,0.11,1
12407_UrsulaAndress_25_f.jpg,0.53,0.32,0.41,1
3702_RingoStarr_48_m.jpg,0.49,0.43,0.54,0
2408_BillMurray_49_m.jpg,0.47,0.39,0.0,0
12553_AlikiBoug_25_f.jpg,0.4,0.27,0.28,0
10833_RaquelWelch_32_f.jpg,0.6,0.51,0.56,1
7965_GilbertRoland_57_m.jpg,0.6,0.51,0.0,1
7868_ChristopherPlummer_45_m.jpg,0.5,0.43,0.35,0
526_AlKapone_30_m.jpg,0.56,0.41,0.0,1
12285_LauraAntonelli_34_f.jpg,0.62,0.51,0.48,1
13992_GloriaSwanson_75_f.jpg,0.46,0.31,0.41,0
13898_AnnieGirardot_58_f.jpg,0.48,0.42,0.49,0
7628_TellySavalas_55_m.jpg,0.56,0.47,0.17,1
14318_JoanFontaine_19_f.jpg,0.61,0.37,0.42,1
7650_TonyCurtis_34_m.jpg,0.54,0.46,0.28,1
11170_LizaMinelli_57_f.jpg,0.51,0.4,0.5,1
14138_SusannahYork_65_f.jpg,0.63,0.55,0.5,1
14356_LorettaYoung_15_f.jpg,0.52,0.4,0.34,1
630_mitsotakis_37_m.jpg,0.47,0.4,0.24,0
14990_AnnJillian_41_f.jpg,0.52,0.42,0.48,1
13208_MichellePfeiffer_45_f.jpg,0.61,0.47,0.18,1
13974_GloriaSwanson_21_f.jpg,0.52,0.4,0.32,1
4599_GordonThomson_61_m.jpg,0.59,0.51,0.11,1
10617_LindaEvans_40_f.jpg,0.48,0.39,0.13,0
8107_Konstantaras_54_m.jpg,0.6,0.45,0.11,1
3637_OmarSharif_21_m.jpg,0.46,0.36,0.07,0
16000_NeildeGrasseTyson_53_m.jpg,0.48,0.36,0.67,0
6920_BorisKarloff_47_m.jpg,0.52,0.45,0.24,1
1432_FriedrichNietzsche_28_m.jpg,0.58,0.43,0.26,1
1464_RabindranathTagore_44_m.jpg,0.49,0.3,0.25,0
3016_AlanRickman_46_m.jpg,0.44,0.38,0.41,0
7320_LinoVentura_51_m.jpg,0.62,0.52,0.37,1
12654_IsabelleHuppert_34_f.jpg,0.48,0.38,0.23,0
10737_MerylStreep_42_f.jpg,0.63,0.53,0.58,1
2285_RodTaylor_65_m.jpg,0.47,0.42,0.36,0
3527_MartinSheen_40_m.jpg,0.54,0.48,0.13,1
9449_EdwardGRobinson_60_m.jpg,0.63,0.55,0.43,1
