Image,MS,Adj_MS,Emotion_Similarity,Label,Combined_Score,Quality_Score
11815_AnjelicaHuston_34_f.jpg,0.61,0.52,0.03,1,0.18,0.44603363
8552_CliffRobertson_37_m.jpg,0.5,0.46,0.54,0,0.69,0.46592978
8732_RichardAttenborough_32_m.jpg,0.45,0.33,0.06,0,0.15,0.2856752
13697_NormaShearer_37_f.jpg,0.59,0.41,0.0,1,0.11,0.36902496
11218_PiaLindstrom_22_f.jpg,0.39,0.31,0.8,0,0.84,0.37446764
3002_WoodyAllen_75_m.jpg,0.59,0.53,0.2,1,0.39,0.37254685
7973_GilbertRoland_46_m.jpg,0.6,0.42,0.43,1,0.6,0.44562587
9944_AliMacGraw_73_f.jpg,0.58,0.55,0.27,1,0.47,0.7426431
3070_BruceWillis_31_m.jpg,0.54,0.44,0.29,1,0.46,0.60760456
9738_DorisDay_66_f.jpg,0.58,0.49,0.79,1,0.91,0.93395
15516_JeanetteMacDonald_61_f.jpg,0.57,0.51,0.6,1,0.77,0.77301544
6865_ThomasTerry_58_m.jpg,0.54,0.47,0.03,1,0.16,0.47544375
2504_DonJohnson_26_m.jpg,0.52,0.39,0.63,1,0.75,0.6021555
8327_RichardCrenna_48_m.jpg,0.56,0.48,0.38,1,0.56,0.58654463
13778_RitaHayworth_29_f.jpg,0.52,0.36,0.14,1,0.27,0.35150072
1897_AlanYoung_89_m.jpg,0.54,0.55,0.65,1,0.81,0.62152743
7491_PeterMarkRichman_66_m.jpg,0.6,0.55,0.33,1,0.53,0.40785024
4177_HarrisonFord_68_m.jpg,0.53,0.47,0.0,1,0.12,0.3324627
16116_SamuelJacksonn_47_m.jpg,0.56,0.48,0.21,1,0.38,0.41901705
14600_JenniferJones_34_f.jpg,0.55,0.41,0.41,1,0.57,0.5459529
4185_HarveyKeitel_39_m.jpg,0.57,0.51,0.23,1,0.41,0.42049524
2684_JohnCleese_47_m.jpg,0.53,0.45,0.19,1,0.35,0.42420036
11324_TanyaRoberts_54_f.jpg,0.56,0.46,0.35,1,0.52,0.42559576
16154_SidneyPoitier_34_m.jpg,0.5,0.46,0.31,0,0.48,0.30156928
12526_AnneBaxter_59_f.jpg,0.5,0.43,0.4,0,0.56,0.7406398
14983_AnnJillian_32_f.jpg,0.55,0.44,0.04,1,0.17,0.47993544
14213_GeraldinePage_62_f.jpg,0.51,0.43,0.0,1,0.11,0.30237046
8123_LeslieNielsen_79_m.jpg,0.59,0.45,0.33,1,0.51,0.32848242
3177_DerekJacobi_56_m.jpg,0.56,0.49,0.45,1,0.63,0.4924476
1977_JamesCaan_24_m.jpg,0.49,0.38,0.07,0,0.18,0.3435925
2122_MelBrooks_78_m.jpg,0.61,0.57,0.45,1,0.65,0.56533
1490_GabrielGarciaMarquez_28_m.jpg,0.53,0.4,0.19,1,0.34,0.32701364
2235_RayLiotta_44_m.jpg,0.63,0.51,0.21,1,0.4,0.344867
4891_RomanPolanski_35_m.jpg,0.48,0.42,0.4,0,0.55,0.39014235
14627_BarbaraStanwyck_17_f.jpg,0.52,0.4,0.53,1,0.67,0.37709907
342_Onasis_58_m.jpg,0.37,0.26,0.12,0,0.19,0.3930323
15748_MaryTamm_51_f.jpg,0.59,0.48,0.38,1,0.56,0.57793814
5561_PatrickStewart_44_m.jpg,0.55,0.48,0.09,1,0.24,0.26354617
2104_MelBrooks_51_m.jpg,0.51,0.48,0.45,1,0.62,0.75345695
6166_DanaAndrews_78_m.jpg,0.44,0.44,0.32,0,0.47,0.3501594
9458_EdwardGRobinson_70_m.jpg,0.54,0.49,0.07,1,0.22,0.39209002
7094_Garycooper_29_m.jpg,0.53,0.32,0.0,1,0.08,0.34127045
10902_TippiHedren_77_f.jpg,0.64,0.61,0.42,1,0.64,0.76391023
8859_CharltonHeaston_27_m.jpg,0.44,0.34,0.19,0,0.31,0.40838802
4324_MichaelPalin_49_m.jpg,0.44,0.37,0.03,0,0.12,0.36592653
7096_GladysCooper_9_m.jpg,0.42,0.26,0.33,0,0.43,0.2849229
15194_CydCharisse_53_f.jpg,0.48,0.46,0.57,0,0.72,0.53659
15909_VeraEllen_36_f.jpg,0.59,0.45,0.32,1,0.5,0.56100744
13416_DanielleDarrieux_35_f.jpg,0.48,0.44,0.33,0,0.49,0.5844356
6421_JamesCoburn_62_m.jpg,0.56,0.51,0.26,1,0.44,0.321159
1535_Bono_30_m.jpg,0.53,0.4,0.33,1,0.48,0.42977944
12150_FrancescaAnnis_51_f.jpg,0.52,0.44,0.39,1,0.55,0.6173301
1980_JamesCaan_27_m.jpg,0.44,0.34,0.31,0,0.44,0.28718835
10297_MarietteHartley_59_f.jpg,0.58,0.5,0.56,1,0.73,0.5517472
3246_GeneHackman_74_m.jpg,0.67,0.5,0.12,1,0.3,0.2995711
12428_AngieDickinson_62_f.jpg,0.5,0.37,0.68,0,0.78,0.7800563
15320_EdwigeFenech_53_f.jpg,0.56,0.47,0.3,1,0.48,0.7008618
760_WEBDuBois_55_m.jpg,0.54,0.39,0.67,1,0.79,0.39081728
10727_MerylStreep_29_f.jpg,0.62,0.48,0.17,1,0.35,0.3953158
2121_MelBrooks_77_m.jpg,0.55,0.51,0.12,1,0.29,0.39240706
7620_TellySavalas_47_m.jpg,0.6,0.49,0.07,1,0.23,0.340941
5218_ClintEastwood_70_m.jpg,0.59,0.48,0.31,1,0.49,0.40289408
6724_RexHarrison_69_m.jpg,0.43,0.34,0.25,0,0.37,0.26191062
4186_HarveyKeitel_39_m.jpg,0.48,0.43,0.03,0,0.14,0.39814365
10013_GoldieHawn_44_f.jpg,0.64,0.53,0.12,1,0.3,0.42590988
13587_JeanPeters_22_f.jpg,0.31,0.24,0.05,0,0.09,0.42465228
6102_CaryGrant_50_m.jpg,0.57,0.38,0.38,1,0.53,0.5917415
290_HatzidakisManos_38_m.jpg,0.64,0.47,0.14,1,0.31,0.3479431
14116_SusannahYork_27_f.jpg,0.47,0.36,0.5,0,0.63,0.31254876
6083_WilliamShatner_69_m.jpg,0.53,0.47,0.23,1,0.4,0.5449955
9448_EdwardGRobinson_59_m.jpg,0.58,0.51,0.07,1,0.23,0.42244214
16136_SamuelJacksonn_62_m.jpg,0.57,0.48,0.03,1,0.17,0.3803511
13426_DanielleDarrieux_49_f.jpg,0.4,0.36,0.33,0,0.46,0.31447434
9768_TomJones_50_f.jpg,0.58,0.44,0.27,1,0.44,0.53708744
13671_LilliPalmer_36_f.jpg,0.6,0.5,0.17,1,0.35,0.28966758
3579_MichaelYork_50_m.jpg,0.54,0.45,0.07,1,0.21,0.40716097
12777_KathleenTurner_56_f.jpg,0.68,0.57,0.18,1,0.39,0.37762582
943_FranklinDRoosevelt_61_m.jpg,0.64,0.53,0.37,1,0.57,0.513432
146_PaulmcCartney_20_m.jpg,0.37,0.24,0.18,0,0.26,0.41658372
12923_BarbraStreisand_41_f.jpg,0.57,0.43,0.13,1,0.28,0.45289472
15949_MartinLutherKing_37_m.jpg,0.4,0.29,0.24,0,0.34,0.32387376
11912_BeaArthur_76_f.jpg,0.53,0.5,0.41,1,0.59,0.21531603
