Image,label,SDD_FIQA,Match_Score,Adj_MS,Emotion_Similarity,Label,Combined_Score,U3FQ
11815_AnjelicaHuston_34_f.jpg,1,0.41,0.61,0.52,0.03,1,0.18,0.45
8552_CliffRobertson_37_m.jpg,0,0.65,0.5,0.46,0.54,0,0.69,0.47
8732_RichardAttenborough_32_m.jpg,0,0.41,0.45,0.33,0.06,0,0.15,0.29
13697_NormaShearer_37_f.jpg,1,0.34,0.59,0.41,0.0,1,0.11,0.37
11218_PiaLindstrom_22_f.jpg,0,0.35,0.39,0.31,0.8,0,0.84,0.37
3002_WoodyAllen_75_m.jpg,1,0.54,0.59,0.53,0.2,1,0.39,0.37
7973_GilbertRoland_46_m.jpg,1,0.45,0.6,0.42,0.43,1,0.6,0.45
9944_AliMacGraw_73_f.jpg,1,0.59,0.58,0.55,0.27,1,0.47,0.74
3070_BruceWillis_31_m.jpg,1,0.66,0.54,0.44,0.29,1,0.46,0.61
9738_DorisDay_66_f.jpg,1,0.37,0.58,0.49,0.79,1,0.91,0.93
15516_JeanetteMacDonald_61_f.jpg,1,0.51,0.57,0.51,0.6,1,0.77,0.77
6865_ThomasTerry_58_m.jpg,1,0.54,0.54,0.47,0.03,1,0.16,0.48
2504_DonJohnson_26_m.jpg,1,0.51,0.52,0.39,0.63,1,0.75,0.6
8327_RichardCrenna_48_m.jpg,1,0.5,0.56,0.48,0.38,1,0.56,0.59
13778_RitaHayworth_29_f.jpg,1,0.46,0.52,0.36,0.14,1,0.27,0.35
1897_AlanYoung_89_m.jpg,1,0.4,0.54,0.55,0.65,1,0.81,0.62
7491_PeterMarkRichman_66_m.jpg,1,0.45,0.6,0.55,0.33,1,0.53,0.41
4177_HarrisonFord_68_m.jpg,1,0.4,0.53,0.47,0.0,1,0.12,0.33
16116_SamuelJacksonn_47_m.jpg,1,0.24,0.56,0.48,0.21,1,0.38,0.42
14600_JenniferJones_34_f.jpg,1,0.38,0.55,0.41,0.41,1,0.57,0.55
4185_HarveyKeitel_39_m.jpg,1,0.49,0.57,0.51,0.23,1,0.41,0.42
2684_JohnCleese_47_m.jpg,1,0.47,0.53,0.45,0.19,1,0.35,0.42
11324_TanyaRoberts_54_f.jpg,1,0.49,0.56,0.46,0.35,1,0.52,0.43
16154_SidneyPoitier_34_m.jpg,0,0.33,0.5,0.46,0.31,0,0.48,0.3
12526_AnneBaxter_59_f.jpg,0,0.53,0.5,0.43,0.4,0,0.56,0.74
14983_AnnJillian_32_f.jpg,1,0.36,0.55,0.44,0.04,1,0.17,0.48
14213_GeraldinePage_62_f.jpg,1,0.45,0.51,0.43,0.0,1,0.11,0.3
8123_LeslieNielsen_79_m.jpg,1,0.38,0.59,0.45,0.33,1,0.51,0.33
3177_DerekJacobi_56_m.jpg,1,0.3,0.56,0.49,0.45,1,0.63,0.49
1977_JamesCaan_24_m.jpg,0,0.54,0.49,0.38,0.07,0,0.18,0.34
2122_MelBrooks_78_m.jpg,1,0.52,0.61,0.57,0.45,1,0.65,0.57
1490_GabrielGarciaMarquez_28_m.jpg,1,0.35,0.53,0.4,0.19,1,0.34,0.33
2235_RayLiotta_44_m.jpg,1,0.48,0.63,0.51,0.21,1,0.4,0.34
4891_RomanPolanski_35_m.jpg,0,0.29,0.48,0.42,0.4,0,0.55,0.39
14627_BarbaraStanwyck_17_f.jpg,1,0.43,0.52,0.4,0.53,1,0.67,0.38
342_Onasis_58_m.jpg,0,0.34,0.37,0.26,0.12,0,0.19,0.39
15748_MaryTamm_51_f.jpg,1,0.56,0.59,0.48,0.38,1,0.56,0.58
5561_PatrickStewart_44_m.jpg,1,0.46,0.55,0.48,0.09,1,0.24,0.26
2104_MelBrooks_51_m.jpg,1,0.32,0.51,0.48,0.45,1,0.62,0.75
6166_DanaAndrews_78_m.jpg,0,0.33,0.44,0.44,0.32,0,0.47,0.35
9458_EdwardGRobinson_70_m.jpg,1,0.41,0.54,0.49,0.07,1,0.22,0.39
7094_Garycooper_29_m.jpg,1,0.31,0.53,0.32,0.0,1,0.08,0.34
10902_TippiHedren_77_f.jpg,1,0.48,0.64,0.61,0.42,1,0.64,0.76
8859_CharltonHeaston_27_m.jpg,0,0.4,0.44,0.34,0.19,0,0.31,0.41
4324_MichaelPalin_49_m.jpg,0,0.41,0.44,0.37,0.03,0,0.12,0.37
7096_GladysCooper_9_m.jpg,0,0.32,0.42,0.26,0.33,0,0.43,0.28
15194_CydCharisse_53_f.jpg,0,0.38,0.48,0.46,0.57,0,0.72,0.54
15909_VeraEllen_36_f.jpg,1,0.31,0.59,0.45,0.32,1,0.5,0.56
13416_DanielleDarrieux_35_f.jpg,0,0.33,0.48,0.44,0.33,0,0.49,0.58
6421_JamesCoburn_62_m.jpg,1,0.49,0.56,0.51,0.26,1,0.44,0.32
1535_Bono_30_m.jpg,1,0.54,0.53,0.4,0.33,1,0.48,0.43
12150_FrancescaAnnis_51_f.jpg,1,0.57,0.52,0.44,0.39,1,0.55,0.62
1980_JamesCaan_27_m.jpg,0,0.43,0.44,0.34,0.31,0,0.44,0.29
10297_MarietteHartley_59_f.jpg,1,0.49,0.58,0.5,0.56,1,0.73,0.55
3246_GeneHackman_74_m.jpg,1,0.65,0.67,0.5,0.12,1,0.3,0.3
12428_AngieDickinson_62_f.jpg,0,0.42,0.5,0.37,0.68,0,0.78,0.78
15320_EdwigeFenech_53_f.jpg,1,0.45,0.56,0.47,0.3,1,0.48,0.7
760_WEBDuBois_55_m.jpg,1,0.32,0.54,0.39,0.67,1,0.79,0.39
10727_MerylStreep_29_f.jpg,1,0.41,0.62,0.48,0.17,1,0.35,0.4
2121_MelBrooks_77_m.jpg,1,0.45,0.55,0.51,0.12,1,0.29,0.39
7620_TellySavalas_47_m.jpg,1,0.47,0.6,0.49,0.07,1,0.23,0.34
