Image,MS,Adj_MS,Emotion_Similarity,label,Transformed_Log_Combined_Score
7068_FessParker_36_m.jpg,0.6,0.52,0.21,1,0.4
4943_StevenBerkoff_56_m.jpg,0.59,0.53,0.17,1,0.36
14741_MarleneDietrich_62_f.jpg,0.58,0.52,0.08,1,0.26
5420_KennethBranagh_23_m.jpg,0.47,0.36,0.36,0,0.5
11326_VirnaLisi_30_f.jpg,0.44,0.34,0.14,0,0.26
8801_AnthonyPerkins_43_m.jpg,0.44,0.36,0.08,0,0.2
9633_AlexandrakisAlekos_40_m.jpg,0.51,0.36,0.25,1,0.39
10699_MaggieSmith_30_f.jpg,0.36,0.27,0.42,0,0.51
513_AlKapone_26_m.jpg,0.61,0.45,0.3,1,0.48
540_angelamerkel_26_f.jpg,0.41,0.26,0.44,0,0.53
15019_AnnMiller_35_f.jpg,0.6,0.52,0.65,1,0.8
8449_WalterPidgeon_56_m.jpg,0.56,0.48,0.0,1,0.15
11431_CyndiLauper_30_f.jpg,0.51,0.39,0.27,1,0.42
10749_MerylStreep_60_f.jpg,0.64,0.55,0.58,1,0.75
2063_JonVoight_47_m.jpg,0.48,0.44,0.3,0,0.46
2776_MickJagger_26_m.jpg,0.57,0.41,0.33,1,0.49
15470_JeanetteMacDonald_34_f.jpg,0.56,0.46,0.6,1,0.74
10887_TippiHedren_60_f.jpg,0.6,0.52,0.42,1,0.61
1454_RabindranathTagore_65_m.jpg,0.56,0.39,0.25,1,0.41
9391_SteveMcQueen_36_m.jpg,0.51,0.39,0.0,1,0.12
439_JohnDRockefeller_75_m.jpg,0.54,0.42,0.06,1,0.2
13218_RoyScheider_42_f.jpg,0.52,0.45,0.36,1,0.52
15343_ErinGray_34_f.jpg,0.66,0.55,0.69,1,0.84
6354_JamesArness_53_m.jpg,0.46,0.4,0.34,0,0.49
2240_RayLiotta_49_m.jpg,0.69,0.57,0.48,1,0.68
259_michaeljackson_17_m.jpg,0.43,0.32,0.43,0,0.54
9545_RicardoMontalbаn_47_m.jpg,0.58,0.51,0.0,1,0.16
1181_ErnestRutherford_25_m.jpg,0.57,0.43,0.5,1,0.65
10968_DonnaDouglas_20_f.jpg,0.52,0.4,0.04,1,0.17
7097_GladysCooper_19_m.jpg,0.55,0.36,0.12,1,0.26
6756_RockHudson_35_m.jpg,0.54,0.43,0.17,1,0.33
13196_MichellePfeiffer_49_f.jpg,0.61,0.44,0.5,1,0.66
6501_JohnnyCash_39_m.jpg,0.57,0.45,0.11,1,0.27
7622_TellySavalas_49_m.jpg,0.58,0.48,0.48,1,0.65
2372_AlainDelon_28_m.jpg,0.58,0.36,0.32,1,0.47
7826_AnthonyQuayle_39_m.jpg,0.4,0.36,0.2,0,0.33
511_AlKapone_32_m.jpg,0.54,0.4,0.3,1,0.46
1195_ErnestRutherford_63_m.jpg,0.51,0.38,0.25,1,0.4
15859_StВphaneAudran_30_f.jpg,0.46,0.35,0.0,0,0.1
388_JPaulGetty_82_m.jpg,0.53,0.24,0.0,1,0.08
4048_CharlieSheen_49_m.jpg,0.5,0.4,0.26,0,0.41
6535_KlausKinski_46_m.jpg,0.37,0.3,0.1,0,0.2
3597_MikeConnors_31_m.jpg,0.46,0.43,0.47,0,0.61
5066_AnthonyHopkins_31_m.jpg,0.46,0.42,0.11,0,0.25
1404_SartreJeanPaul_57_m.jpg,0.45,0.37,0.18,0,0.31
9097_LawrenceTierney_74_m.jpg,0.57,0.44,0.24,1,0.41
7231_JosephCotten_54_m.jpg,0.6,0.49,0.38,1,0.56
4987_TimothyDalton_68_m.jpg,0.56,0.52,0.12,1,0.3
945_Gaddafi_45_m.jpg,0.51,0.38,0.1,1,0.24
1941_JamesBest_24_m.jpg,0.42,0.34,0.14,0,0.26
10813_PeggyLipton_49_f.jpg,0.57,0.47,0.65,1,0.78
16449_Tyson_54_f.jpg,0.55,0.38,0.03,1,0.16
1665_BobDylan_35_m.jpg,0.46,0.38,0.5,0,0.62
7408_MickeyRooney_21_m.jpg,0.49,0.39,0.36,0,0.51
6320_FernandoRey_59_m.jpg,0.6,0.52,0.38,1,0.57
1890_AlanYoung_53_m.jpg,0.52,0.48,0.65,1,0.78
1956_JamesBest_52_m.jpg,0.48,0.45,0.6,0,0.73
16377_Houston_25_f.jpg,0.44,0.31,0.15,0,0.26
8260_ReginaldOwen_73_m.jpg,0.46,0.44,0.33,0,0.49
925_FranklinDRoosevelt_53_m.jpg,0.64,0.45,0.37,1,0.55
15364_ErinGray_61_f.jpg,0.57,0.49,0.69,1,0.82
7372_LyleTalbot_31_m.jpg,0.54,0.47,0.12,1,0.28
9222_RobertMitchum_61_m.jpg,0.57,0.46,0.3,1,0.48
10545_JoanCollins_55_f.jpg,0.63,0.55,0.26,1,0.46
6110_CaryGrant_66_m.jpg,0.43,0.28,0.29,0,0.4
4588_GordonThomson_41_m.jpg,0.56,0.49,0.56,1,0.71
839_HarrySTruman_66_m.jpg,0.53,0.41,0.27,1,0.43
14056_JudyGarland_42_f.jpg,0.42,0.33,0.12,0,0.23
14098_RomySchneider_31_f.jpg,0.58,0.44,0.46,1,0.62
