Image,Avg_N_Score,Image1_Age,Emotion_Similarity,label
12782_MargaretOBrien_8_f.jpg,0.48,8,0.5,1
11155_LizaMinelli_29_f.jpg,0.45,29,0.3,1
5281_JackNicolson_73_m.jpg,0.48,73,0.12,1
6642_MelFerrer_65_m.jpg,0.46,65,0.54,1
8369_SimonMacCorkindale_50_m.jpg,0.32,50,0.07,0
10474_BetteMidler_41_f.jpg,0.39,41,0.75,0
2717_KevinBacon_34_m.jpg,0.33,34,0.17,0
6399_JamesCoburn_32_m.jpg,0.52,32,0.35,1
6989_ChristopherWalken_25_m.jpg,0.42,25,0.35,1
6298_FernandoRey_31_m.jpg,0.56,31,0.38,1
11927_CatherineSpaak_25_f.jpg,0.6,25,0.19,1
10896_TippiHedren_69_f.jpg,0.38,69,0.42,0
9701_DorisDay_48_f.jpg,0.41,48,0.79,1
7419_MickeyRooney_40_m.jpg,0.48,40,0.36,1
9650_BoDerek_31_f.jpg,0.41,31,0.33,1
12208_ImeldaStaunton_50_f.jpg,0.43,50,0.46,1
2699_KevinBacon_20_m.jpg,0.32,20,0.38,0
2477_ClaudeRich_60_m.jpg,0.53,60,0.21,1
3338_JeffBridges_51_m.jpg,0.48,51,0.31,1
8354_SimonMacCorkindale_31_m.jpg,0.47,31,0.23,1
14313_JoanFontaine_32_f.jpg,0.39,32,0.42,0
11519_JulieChristie_51_f.jpg,0.53,51,0.54,1
11406_AnnetteBening_36_f.jpg,0.44,36,0.07,1
2637_JeremyKemp_30_m.jpg,0.42,30,0.41,1
13895_AnnieGirardot_53_f.jpg,0.72,53,0.09,1
12049_DebbieReynolds_76_f.jpg,0.53,76,0.6,1
2456_ChevyChase_67_m.jpg,0.4,67,0.12,0
12127_EvaMarieSaint_88_f.jpg,0.42,88,0.63,1
11948_AngelaLansbury_20_f.jpg,0.48,20,0.19,1
3533_MartinSheen_50_m.jpg,0.42,50,0.31,1
11480_JulieAndrews_31_f.jpg,0.5,31,0.14,1
12755_JenniferAniston_45_f.jpg,0.61,45,0.26,1
16173_SidneyPoitier_81_m.jpg,0.54,81,0.25,1
8650_JamesStewart_65_m.jpg,0.41,65,0.1,1
15062_BettyGarrett_60_f.jpg,0.41,60,0.85,1
8786_AnthonyPerkins_28_m.jpg,0.5,28,0.44,1
5366_JohnMalkovich_32_m.jpg,0.47,32,0.42,1
3242_GeneHackman_56_m.jpg,0.5,56,0.27,1
12966_CatherineDeneuve_57_f.jpg,0.46,57,0.32,1
13238_RoyScheider_75_f.jpg,0.5,75,0.17,1
13365_BetteDavis_35_f.jpg,0.63,35,0.14,1
5635_PeterOToole_26_m.jpg,0.73,26,0.2,1
7123_GladysCooper_80_m.jpg,0.51,80,0.47,1
14149_VivienLeigh_28_f.jpg,0.42,28,0.21,1
4559_Fernandel_40_m.jpg,0.46,40,0.26,1
3755_RutgerHauer_34_m.jpg,0.54,34,0.32,1
8565_CliffRobertson_77_m.jpg,0.45,77,0.54,1
2814_RonPerlman_32_m.jpg,0.33,32,0.24,0
13423_DanielleDarrieux_45_f.jpg,0.48,45,0.33,1
3855_SteveKanaly_50_m.jpg,0.42,50,0.07,1
3352_JeffDaniels_30_m.jpg,0.49,30,0.09,1
4606_GordonThomson_68_m.jpg,0.4,68,0.07,0
5389_JohnMalkovich_55_m.jpg,0.41,55,0.42,1
8841_ArnoldSchwarzenegger_51_m.jpg,0.43,51,0.28,1
14338_KristinScottThomas_35_f.jpg,0.36,35,0.56,0
1603_AlCorley_34_m.jpg,0.37,34,0.28,0
8178_PatrickSwayze_51_m.jpg,0.4,51,0.35,0
3689_RingoStarr_29_m.jpg,0.49,29,0.54,1
16046_MorganFreeman_35_m.jpg,0.5,35,0.32,1
5378_JohnMalkovich_42_m.jpg,0.5,42,0.06,1
7531_RobertMorley_37_m.jpg,0.4,37,0.15,0
1297_RitaLeviMontalcini_13_f.jpg,0.57,13,0,1
10809_PeggyLipton_43_f.jpg,0.37,43,0.65,0
2967_tomselleck_49_m.jpg,0.41,49,0.19,1
7642_TonyCurtis_24_m.jpg,0.53,24,0.28,1
13626_JessicaTandy_50_f.jpg,0.4,50,0.54,0
2145_MelGibson_35_m.jpg,0.45,35,0.22,1
10854_SusanGeorge_17_f.jpg,0.52,17,0.09,1
14419_MaryPickford_25_f.jpg,0.7,25,0.36,1
4729_MichaelCaine_50_m.jpg,0.41,50,0.36,1
7272_LeifErickson_24_m.jpg,0.42,24,0.19,1
4384_RobertDuvall_55_m.jpg,0.53,55,0.3,1
2745_LiamNeeson_32_m.jpg,0.42,32,0.32,1
15070_BettyGarrett_74_f.jpg,0.37,74,0.85,0
3106_ChuckNorris_41_m.jpg,0.46,41,0.32,1
12041_DebbieReynolds_60_f.jpg,0.53,60,0.1,1
8089_JohnForsythe_76_m.jpg,0.43,76,0.11,1
8034_HorstBuchholz_23_m.jpg,0.44,23,0.19,1
9061_JeanClaudeVanDamme_42_m.jpg,0.46,42,0.07,1
5578_PatrickStewart_68_m.jpg,0.39,68,0.09,0
47_Pele_55_m.jpg,0.37,55,0.44,0
13744_PatriciaNeal_84_f.jpg,0.46,84,0.11,1
3592_MichaelYork_64_m.jpg,0.49,64,0.38,1
920_TheodoreRoosevelt_45_m.jpg,0.46,45,0.29,1
2510_DonJohnson_34_m.jpg,0.54,34,0.63,1
6289_ErrolFlynn_40_m.jpg,0.41,40,0.13,1
1126_FaradayMichael_34_m.jpg,0.5,34,0.62,1
8693_MurrayHamilton_36_m.jpg,0.47,36,0.42,1
16053_WillSmith_22_m.jpg,0.33,22,0.76,0
15007_AnnMiller_21_f.jpg,0.58,21,0.65,1
16323_Davis_52_f.jpg,0.41,52,0.46,1
5395_JohnMalkovich_59_m.jpg,0.49,59,0.13,1
14789_SilvanaMangano_20_f.jpg,0.44,20,0.55,1
1961_JamesBest_64_m.jpg,0.51,64,0.6,1
9734_DorisDay_54_f.jpg,0.51,54,0.79,1
4338_RalphMacchio_15_m.jpg,0.37,15,0.66,0
7244_KrisKristofferson_35_m.jpg,0.56,35,0.11,1
1341_Soljenitsyne_56_m.jpg,0.43,56,0.23,1
15524_JulieBishop_21_f.jpg,0.4,21,0.13,0
10065_JaneBirkin_19_f.jpg,0.47,19,0.42,1
9882_LauraDern_32_f.jpg,0.39,32,0.18,0
11972_AngelaLansbury_61_f.jpg,0.45,61,0.12,1
138_PaulmcCartney_36_m.jpg,0.42,36,0.39,1
3836_SteveKanaly_26_m.jpg,0.57,26,0.22,1
16105_DannyGlover_63_m.jpg,0.51,63,0.48,1
1098_NielsBohr_32_m.jpg,0.39,32,0.55,0
14747_MarleneDietrich_71_f.jpg,0.36,71,0.45,0
15591_KateOMara_35_f.jpg,0.45,35,0.46,1
944_Gaddafi_28_m.jpg,0.49,28,0.27,1
5385_JohnMalkovich_49_m.jpg,0.36,49,0.42,0
2045_JohnJames_55_m.jpg,0.39,55,0.08,0
14449_PeggyAshcroft_26_f.jpg,0.51,26,0.23,1
24_EsteeLauder_52_f.jpg,0.38,52,0.22,0
6040_RafVallone_48_m.jpg,0.58,48,0.11,1
12039_DebbieReynolds_50_f.jpg,0.48,50,0.6,1
5683_RobertDeNiro_54_m.jpg,0.61,54,0.31,1
14725_MarleneDietrich_41_f.jpg,0.37,41,0.45,0
11029_EmmaThompson_33_f.jpg,0.4,33,0.05,0
9192_RichardBurton_26_m.jpg,0.49,26,0.53,1
2264_RodTaylor_37_m.jpg,0.47,37,0.36,1
8157_LorneGreene_63_m.jpg,0.43,63,0.07,1
514_AlKapone_30_m.jpg,0.38,30,0.3,0
1255_AlexanderGrahamBell_65_m.jpg,0.44,65,0.36,1
6125_CaryGrant_48_m.jpg,0.44,48,0.12,1
7481_PeterMarkRichman_75_m.jpg,0.35,75,0.3,0
12080_ElsaMartinelli_71_f.jpg,0.43,71,0.3,1
12628_HedyLamarr_48_f.jpg,0.51,48,0.36,1
12414_AngieDickinson_26_f.jpg,0.48,26,0.68,1
10264_LivUllmann_66_f.jpg,0.49,66,0.37,1
13053_GeraldineChaplin_67_f.jpg,0.48,67,0.15,1
8468_WilliamHolden_29_m.jpg,0.55,29,0.1,1
13197_MichellePfeiffer_52_f.jpg,0.36,52,0.5,0
13317_SigourneyWeaver_63_f.jpg,0.42,63,0.06,1
14577_JenniferJones_31_f.jpg,0.37,31,0.48,0
1538_Bono_34_m.jpg,0.6,34,0.33,1
3982_BurtReynolds_34_m.jpg,0.53,34,0.15,1
1738_TimCurry_46_m.jpg,0.43,46,0.14,1
6129_CaryGrant_28_m.jpg,0.49,28,0.38,1
13939_BettyGrable_51_f.jpg,0.61,51,0.6,1
6952_CharlesBoyer_31_m.jpg,0.7,31,0.15,1
15319_EdwigeFenech_51_f.jpg,0.46,51,0.3,1
14798_SilvanaMangano_30_f.jpg,0.44,30,0.55,1
11052_JeanneMoreau_34_f.jpg,0.62,34,0.21,1
6744_RockHudson_20_m.jpg,0.75,20,0.22,1
2672_JohnCleese_30_m.jpg,0.62,30,0.19,1
4311_MichaelPalin_32_m.jpg,0.58,32,0.09,1
15570_JulieHagerty_54_f.jpg,0.43,54,0.65,1
8211_PeterUstinov_52_m.jpg,0.41,52,0.21,1
15753_PamelaSueMartin_19_f.jpg,0.66,19,0.07,1
10056_HelenHunt_43_f.jpg,0.34,43,0.73,0
5182_CharlesGrodin_37_m.jpg,0.49,37,0.21,1
16406_Ross_68_f.jpg,0.48,68,0.53,1
15990_MuhammadAli_64_m.jpg,0.53,64,0.15,1
